Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4069,
Trigger Level,1.400E+00,
Source,CH1,
Vertical Units,A,
Vertical Units Div,0,
Vertical Units Extend Div,36,
Label, ,
Probe Type,1,
Probe Ratio,1.000E+02,
Vertical Scale,2.000E-01,
Vertical Position,-6.080E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-03,
Horizontal Position,9.300E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-06,
Horizontal Old Scale,1.000E-03,
Horizontal Old Position,9.300E-04,
Firmware,V1.17,
Mode,Detail,
Waveform Data,
-3.513000e-03,-4.80e-02,
-3.512000e-03,-8.00e-03,
-3.511000e-03,4.80e-02,
-3.510000e-03,3.20e-02,
-3.509000e-03,2.40e-02,
-3.508000e-03,-4.80e-02,
-3.507000e-03,-3.20e-02,
-3.506000e-03,-4.80e-02,
-3.505000e-03,-1.28e-01,
-3.504000e-03,4.80e-02,
-3.503000e-03,-8.00e-03,
-3.502000e-03,2.40e-02,
-3.501000e-03,1.52e-01,
-3.500000e-03,6.40e-02,
-3.499000e-03,3.20e-02,
-3.498000e-03,-1.60e-02,
-3.497000e-03,-1.60e-02,
-3.496000e-03,2.40e-02,
-3.495000e-03,1.84e-01,
-3.494000e-03,3.04e-01,
-3.493000e-03,1.44e-01,
-3.492000e-03,2.08e-01,
-3.491000e-03,4.32e-01,
-3.490000e-03,2.48e-01,
-3.489000e-03,2.32e-01,
-3.488000e-03,-8.00e-03,
-3.487000e-03,1.92e-01,
-3.486000e-03,8.80e-02,
-3.485000e-03,8.80e-02,
-3.484000e-03,3.20e-02,
-3.483000e-03,1.12e-01,
-3.482000e-03,8.80e-02,
-3.481000e-03,3.20e-02,
-3.480000e-03,-4.80e-02,
-3.479000e-03,6.40e-02,
-3.478000e-03,3.20e-02,
-3.477000e-03,1.44e-01,
-3.476000e-03,-2.08e-01,
-3.475000e-03,3.20e-02,
-3.474000e-03,-7.20e-02,
-3.473000e-03,1.68e-01,
-3.472000e-03,2.40e-02,
-3.471000e-03,1.52e-01,
-3.470000e-03,1.28e-01,
-3.469000e-03,2.40e-02,
-3.468000e-03,-8.00e-03,
-3.467000e-03,-1.60e-02,
-3.466000e-03,1.12e-01,
-3.465000e-03,6.40e-02,
-3.464000e-03,8.00e-03,
-3.463000e-03,6.40e-02,
-3.462000e-03,3.20e-02,
-3.461000e-03,1.44e-01,
-3.460000e-03,8.00e-03,
-3.459000e-03,-8.80e-02,
-3.458000e-03,-4.80e-02,
-3.457000e-03,-5.60e-02,
-3.456000e-03,-4.80e-02,
-3.455000e-03,3.20e-02,
-3.454000e-03,-8.00e-03,
-3.453000e-03,-3.20e-02,
-3.452000e-03,8.00e-03,
-3.451000e-03,-3.20e-02,
-3.450000e-03,-9.60e-02,
-3.449000e-03,6.40e-02,
-3.448000e-03,4.08e-01,
-3.447000e-03,-8.00e-03,
-3.446000e-03,-9.60e-02,
-3.445000e-03,-2.56e-01,
-3.444000e-03,2.08e-01,
-3.443000e-03,8.00e-03,
-3.442000e-03,6.40e-02,
-3.441000e-03,-1.60e-02,
-3.440000e-03,-1.92e-01,
-3.439000e-03,-8.00e-03,
-3.438000e-03,-1.28e-01,
-3.437000e-03,7.20e-02,
-3.436000e-03,8.00e-03,
-3.435000e-03,4.80e-02,
-3.434000e-03,2.40e-02,
-3.433000e-03,2.40e-02,
-3.432000e-03,8.80e-02,
-3.431000e-03,-4.80e-02,
-3.430000e-03,-3.20e-02,
-3.429000e-03,-8.00e-03,
-3.428000e-03,-7.20e-02,
-3.427000e-03,-1.60e-02,
-3.426000e-03,-8.00e-03,
-3.425000e-03,-8.00e-03,
-3.424000e-03,6.40e-02,
-3.423000e-03,3.20e-02,
-3.422000e-03,4.80e-02,
-3.421000e-03,-7.20e-02,
-3.420000e-03,8.80e-02,
-3.419000e-03,2.24e-01,
-3.418000e-03,-2.72e-01,
-3.417000e-03,7.20e-02,
-3.416000e-03,-2.32e-01,
-3.415000e-03,2.08e-01,
-3.414000e-03,6.40e-02,
-3.413000e-03,-8.00e-03,
-3.412000e-03,4.80e-02,
-3.411000e-03,3.20e-02,
-3.410000e-03,4.80e-02,
-3.409000e-03,-7.20e-02,
-3.408000e-03,-8.80e-02,
-3.407000e-03,-3.20e-02,
-3.406000e-03,-5.60e-02,
-3.405000e-03,-1.28e-01,
-3.404000e-03,1.12e-01,
-3.403000e-03,8.80e-02,
-3.402000e-03,-8.00e-03,
-3.401000e-03,-7.20e-02,
-3.400000e-03,-1.76e-01,
-3.399000e-03,-4.08e-01,
-3.398000e-03,-3.68e-01,
-3.397000e-03,-1.68e-01,
-3.396000e-03,-2.32e-01,
-3.395000e-03,-8.80e-02,
-3.394000e-03,-1.12e-01,
-3.393000e-03,-2.16e-01,
-3.392000e-03,-1.36e-01,
-3.391000e-03,-1.52e-01,
-3.390000e-03,-7.20e-02,
-3.389000e-03,-2.16e-01,
-3.388000e-03,-3.28e-01,
-3.387000e-03,-3.76e-01,
-3.386000e-03,-4.80e-02,
-3.385000e-03,-1.60e-02,
-3.384000e-03,2.40e-02,
-3.383000e-03,-8.80e-02,
-3.382000e-03,8.00e-03,
-3.381000e-03,-7.20e-02,
-3.380000e-03,-5.60e-02,
-3.379000e-03,4.80e-02,
-3.378000e-03,-9.60e-02,
-3.377000e-03,-1.28e-01,
-3.376000e-03,-3.20e-02,
-3.375000e-03,-3.92e-01,
-3.374000e-03,2.40e-02,
-3.373000e-03,-1.60e-02,
-3.372000e-03,7.20e-02,
-3.371000e-03,-3.20e-02,
-3.370000e-03,7.20e-02,
-3.369000e-03,-4.80e-02,
-3.368000e-03,-7.20e-02,
-3.367000e-03,4.80e-02,
-3.366000e-03,-1.12e-01,
-3.365000e-03,8.00e-03,
-3.364000e-03,4.80e-02,
-3.363000e-03,-1.52e-01,
-3.362000e-03,7.20e-02,
-3.361000e-03,8.00e-03,
-3.360000e-03,1.68e-01,
-3.359000e-03,2.40e-02,
-3.358000e-03,-7.20e-02,
-3.357000e-03,6.40e-02,
-3.356000e-03,2.40e-02,
-3.355000e-03,-3.20e-02,
-3.354000e-03,-8.00e-03,
-3.353000e-03,4.80e-02,
-3.352000e-03,-1.60e-02,
-3.351000e-03,8.00e-03,
-3.350000e-03,8.00e-03,
-3.349000e-03,-1.36e-01,
-3.348000e-03,4.80e-02,
-3.347000e-03,-1.36e-01,
-3.346000e-03,-4.16e-01,
-3.345000e-03,-7.20e-02,
